year,month,Plastic,Metal,Rubber,Glass,Wood & Paper,Clothing & Fabrics,Miscellaneous
1992,8,58,5,1,1,8,4,3
1992,9,7,0,1,1,1,1,2
1992,10,26,3,1,1,3,0,0
1992,11,28,2,2,0,7,2,0
1993,8,35,7,0,1,11,4,1
1993,9,4,2,0,1,0,0,0
1993,10,52,4,1,0,7,3,3
1993,11,16,6,1,0,5,1,1
1994,8,101,6,7,1,19,3,5
1994,10,26,2,0,0,6,0,0
1994,11,37,2,2,0,3,3,0
1995,8,70,7,2,1,21,4,2
1995,9,14,2,2,0,7,1,1
1996,8,76,7,4,2,7,2,3
1996,9,15,1,2,0,3,1,1
1997,8,68,7,5,0,3,3,5
1997,9,10,1,0,0,1,0,0
1998,8,36,3,2,0,9,4,2
1998,9,11,3,1,0,0,0,2
1999,8,33,1,3,1,13,2,3
1999,9,33,4,3,1,3,1,0
2000,5,0,0,0,0,0,0,0
2000,6,36,12,3,0,1,0,8
2000,8,30,4,5,1,5,2,10
2000,9,6,0,0,1,1,1,2
2001,6,4,2,0,0,0,0,2
2001,7,39,14,1,0,10,3,18
2002,6,131,13,1,2,0,2,4
2002,7,6,3,3,1,2,1,2
2003,6,13,1,3,1,2,2,0
2003,7,362,33,6,0,4,6,10
2004,6,248,61,9,2,34,9,20
2004,7,138,7,4,4,11,2,10
2005,6,88,5,2,1,2,0,5
2005,7,25,4,1,3,0,1,0
2005,8,76,4,1,0,16,9,3
2005,9,17,0,1,0,3,0,0
2006,6,215,6,4,1,17,1,7
2006,7,27,2,3,0,6,2,0
2007,6,82,6,12,2,1,2,0
2007,7,19,1,1,2,0,0,0
2008,6,228,9,6,1,6,13,3
2008,7,28,2,4,1,2,0,0
2008,8,70,5,3,3,18,7,0
2008,9,7,0,3,2,2,0,0
2009,8,66,7,8,3,2,4,1
2009,9,7,1,0,0,0,1,0
2009,11,38,0,2,0,1,3,1
2009,12,13,0,0,0,0,0,1
2010,3,442,18,59,7,16,45,15
2010,6,59,3,3,0,4,2,3
2010,7,226,16,7,6,27,18,8
2010,8,79,4,7,1,6,1,0
2010,9,204,8,16,4,6,11,1
2010,11,106,4,7,0,6,2,1
2010,12,1,0,0,0,0,0,0
2011,2,109,1,2,0,2,0,0
2011,3,561,18,53,0,27,41,4
2011,7,92,15,15,3,6,9,3
2011,8,158,5,9,1,16,1,0
2011,9,257,8,8,4,34,7,4
2011,10,17,0,2,0,0,1,1
2011,11,89,2,0,1,8,1,0
2011,12,2,0,0,0,0,0,0
2012,3,24,1,1,0,7,1,0
2012,4,121,10,18,0,8,14,5
2012,6,229,1,4,1,8,3,1
2012,7,59,7,11,2,25,3,4
2012,8,72,3,2,0,5,0,0
2012,9,198,9,10,8,28,11,1
2012,10,4,1,1,0,1,0,0
2013,2,94,4,8,1,4,7,1
2013,3,191,8,17,1,7,21,2
2013,6,98,2,7,1,13,8,0
2013,7,145,6,11,0,38,7,1
2013,8,104,3,7,2,17,4,3
2013,9,181,8,19,2,18,7,3
2013,10,4,2,0,0,0,0,0
2014,2,243,12,26,1,29,56,8
2014,3,148,6,17,1,7,18,2
2014,6,1,0,1,0,0,0,0
2014,7,100,7,11,0,15,5,2
2014,8,149,7,8,2,5,5,5
2014,9,262,11,13,2,11,7,11
2015,2,76,4,17,0,12,8,2
2015,3,308,11,40,6,11,23,7
